# movement simulation of the cell with greedy algorithm
# init_distance = 3
# rate = 1
# diffusion = 1
# seed = 1
# cutoff = 20
# init_pos = -2.6858941866661814	-1.0115539661916002	-0.8733447151697058
# max_particles = 100000
4	-2.6049900000000004	-1.0703299999999991	-0.873345
5	-2.55499	-1.070329999999999	-0.9599469999999998
6	-2.6049900000000004	-1.0703299999999991	-1.04655
7	-2.52409	-1.01155	-1.0465499999999999
13	-2.44319	-1.0703299999999991	-1.0465499999999999
23	-2.4931900000000002	-1.0703299999999996	-1.1331499999999997
24	-2.52409	-0.9752269999999992	-1.1331500000000003
25	-2.4431900000000004	-1.0340099999999992	-1.1331499999999997
30	-2.3622900000000007	-1.0927799999999992	-1.1331499999999999
36	-2.4122900000000005	-1.0927799999999994	-1.0465499999999999
38	-2.33139	-1.0340099999999997	-1.0465499999999999
42	-2.28139	-1.0340099999999994	-0.9599469999999998
48	-2.2004800000000007	-1.0927799999999992	-0.9599469999999998
49	-2.15048	-1.0927799999999996	-0.873345
53	-2.06958	-1.0340099999999997	-0.8733449999999999
72	-2.11958	-1.0340099999999999	-0.959947
82	-2.1695800000000007	-1.0340099999999994	-1.0465499999999996
83	-2.08868	-0.9752269999999996	-1.04655
86	-2.00778	-1.034009999999999	-1.0465499999999999
97	-1.9577800000000007	-1.0340099999999997	-0.9599469999999999
106	-1.90778	-1.0340099999999997	-1.0465500000000005
113	-1.8577800000000004	-1.0340099999999994	-0.9599470000000001
115	-1.77688	-0.9752269999999994	-0.9599470000000001
119	-1.69598	-0.9164479999999999	-0.9599469999999999
121	-1.6150700000000004	-0.8576699999999994	-0.9599469999999997
122	-1.5341700000000007	-0.7988909999999995	-0.959947
125	-1.4532700000000003	-0.8576699999999999	-0.9599469999999998
126	-1.3723700000000003	-0.7988910000000001	-0.9599470000000001
143	-1.32237	-0.7988909999999998	-0.8733450000000001
144	-1.24147	-0.7401129999999995	-0.8733449999999999
146	-1.1914700000000003	-0.740113	-0.7867419999999999
148	-1.1414700000000002	-0.7401129999999998	-0.7001400000000001
157	-1.06057	-0.6813340000000001	-0.7001400000000001
164	-1.1605700000000003	-0.6813339999999996	-0.7001399999999999
186	-1.07966	-0.6225559999999998	-0.7001400000000001
188	-1.11057	-0.5274499999999998	-0.70014
194	-1.0605700000000002	-0.5274499999999995	-0.6135370000000001
195	-0.9796640000000002	-0.4686719999999996	-0.613537
201	-0.929664	-0.46867199999999987	-0.5269350000000002
206	-0.8487620000000002	-0.409893	-0.526935
# Source found
